timestamp,host,minimum_latency,maximum_latency,average_latency,packet_loss,jitter,throughput,fault_label
2026-08-20 00:00:00,8.8.8.8,57.28,88.66,72.97,24.7,6.23,19.24,packet_loss
2026-08-20 00:01:00,8.8.8.8,33.66,76.75,61.44,2.0,22.8,50.72,high_jitter
2026-08-20 00:02:00,8.8.8.8,12.34,19.72,16.68,0.0,3.34,125.71,normal
2026-08-20 00:03:00,8.8.8.8,223.88,231.87,229.33,0.0,3.92,43.49,high_latency
2026-08-20 00:04:00,8.8.8.8,7.19,8.45,8.47,0.0,1.45,50.88,normal
2026-08-20 00:05:00,8.8.8.8,28.89,48.1,38.5,10.0,16.42,4.39,packet_loss
2026-08-20 00:06:00,8.8.8.8,270.59,285.52,278.7,0.0,3.98,66.95,high_latency
2026-08-20 00:07:00,8.8.8.8,36.07,47.02,41.55,12.9,7.22,13.5,packet_loss
2026-08-20 00:08:00,8.8.8.8,270.49,278.5,274.14,0.0,4.51,54.54,high_latency
2026-08-20 00:09:00,8.8.8.8,23.71,119.91,67.14,4.0,26.02,29.59,high_jitter
2026-08-20 00:10:00,8.8.8.8,25.05,124.75,76.34,0.0,29.8,24.8,high_jitter
2026-08-20 00:11:00,8.8.8.8,31.65,36.63,33.33,0.0,1.48,68.15,normal
2026-08-20 00:12:00,8.8.8.8,42.2,46.2,45.13,0.0,3.38,141.63,normal
2026-08-20 00:13:00,8.8.8.8,33.24,108.36,62.25,0.0,62.18,58.47,high_jitter
2026-08-20 00:14:00,8.8.8.8,35.57,36.74,35.2,0.0,1.34,96.08,normal
2026-08-20 00:15:00,8.8.8.8,8.62,14.87,11.16,0.0,3.17,60.64,normal
2026-08-20 00:16:00,8.8.8.8,151.4,158.08,153.82,0.0,5.6,38.99,high_latency
2026-08-20 00:17:00,8.8.8.8,10.29,115.63,62.39,2.0,82.43,21.06,high_jitter
2026-08-20 00:18:00,8.8.8.8,28.34,190.54,109.44,2.0,73.69,40.96,high_jitter
2026-08-20 00:19:00,8.8.8.8,161.94,169.67,166.27,0.0,1.28,77.12,high_latency
2026-08-20 00:20:00,8.8.8.8,246.39,248.46,248.47,0.0,1.0,67.96,high_latency
2026-08-20 00:21:00,8.8.8.8,27.02,126.2,72.04,0.0,47.41,23.21,high_jitter
2026-08-20 00:22:00,8.8.8.8,17.95,118.48,54.07,0.0,36.51,11.68,high_jitter
2026-08-20 00:23:00,8.8.8.8,159.87,163.45,160.87,0.0,1.38,64.37,high_latency
2026-08-20 00:24:00,8.8.8.8,19.97,21.76,21.21,0.0,1.96,131.54,normal
2026-08-20 00:25:00,8.8.8.8,18.68,25.1,21.15,0.0,3.4,91.72,normal
2026-08-20 00:26:00,8.8.8.8,31.74,105.82,70.05,0.0,19.08,43.34,high_jitter
2026-08-20 00:27:00,8.8.8.8,267.89,273.02,269.22,0.0,6.03,24.82,high_latency
2026-08-20 00:28:00,8.8.8.8,161.54,173.12,167.38,0.0,4.68,20.79,high_latency
2026-08-20 00:29:00,8.8.8.8,167.64,180.04,174.05,0.0,3.06,26.82,high_latency
2026-08-20 00:30:00,8.8.8.8,148.61,153.47,151.43,0.0,4.99,84.89,high_latency
2026-08-20 00:31:00,8.8.8.8,18.69,77.31,42.0,2.0,90.99,53.98,high_jitter
2026-08-20 00:32:00,8.8.8.8,15.43,77.3,48.89,4.0,63.34,18.97,high_jitter
2026-08-20 00:33:00,8.8.8.8,21.13,190.03,82.28,4.0,39.03,20.38,high_jitter
2026-08-20 00:34:00,8.8.8.8,268.66,280.6,273.69,1.0,0.92,23.51,high_latency
2026-08-20 00:35:00,8.8.8.8,221.91,226.96,225.25,0.0,5.46,54.61,high_latency
2026-08-20 00:36:00,8.8.8.8,316.95,319.99,319.4,0.0,1.87,75.5,high_latency
